dataset,cnn,vit
no effect,0.998,0.996
20_center_masked,0.994,0.968
50_center_masked,0.769,0.883
80_center_masked,0.299,0.506
10_random_masked,0.224,0.462
15_random_masked,0.236,0.372
20_random_masked,0.307,0.341
0.5_gaussian_blur,0.998,0.996
1_gaussian_blur,0.908,0.925
3_gaussian_blur,0.256,0.512
